anchor,x,y
1008110042.0,18.449685509096682,-3.6414189666207246
1008110043.0,19.978304274262854,-3.6071873293865484
1008110044.0,20.176790545395075,-3.6014707932905217
1008110045.0,21.71311039230438,-3.6024300416528203
1008110046.0,21.88475542963415,-3.592027053905617
1008110047.0,23.629415496771433,-3.557715950858457
1008110048.0,24.071462281886475,-3.2192468735214215
1008110049.0,24.05262215675003,-0.27518590670410736
1008110061.0,22.783931583720477,-0.3912007131115039
1008110059.0,20.039152657041832,-0.2697223265938695
1008110002.0,-24.245070295260312,-0.8566652112345395
1008110005.0,-21.351687663472767,-0.4627857057530066
1008110004.0,-21.348748475626792,-0.7421569866819648
1008110013.0,-18.181026261508876,-0.7294104635924055
1008120001.0,-24.824574409460364,-2.659741540278974
1008110006.0,-21.480705109918233,-3.6591181664713277
1008110001.0,-24.22910500708452,-2.783762137930172
1008110007.0,-20.539173156054225,-2.2722289400884943
1008110009.0,-19.01351258335739,-2.2595563055844416
1008110011.0,-17.493250070549404,-2.24134957842842
1008110003.0,-24.25858214253837,0.2288150028722153
1008110008.0,-20.459712722619322,-2.265286344670439
1008110010.0,-18.934898745019186,-2.2516312995997056
1008110012.0,-17.414255292041116,-2.23949143688099
1008120002.0,-17.508572946039642,-2.781904259876915
1008110057.0,19.660707452138354,-0.2797640665958615
1008110055.0,16.864052200082522,-0.3098464567499698
1008110053.0,16.48042642225309,-0.3098464567499698
1008110056.0,16.8551884791186,1.647763650554339
1008110058.0,19.64331479149305,1.67668611842372
1008110060.0,20.02198209895587,1.6806406804444107
1008110054.0,16.496387637070015,1.645642219467051
1008110052.0,14.124179886272882,1.7010308364567464
1008110051.0,14.143928240357216,-0.3922895358195068
1008110068.0,14.992392612695683,3.459552503692851
1008110067.0,12.529931838345659,3.4458974590171616
1008110065.0,10.001965053321623,3.4290371211103845
1008110066.0,12.455322354388198,3.4472438470812756
1008110069.0,15.07016067002433,3.4605555501592167
1008110062.0,22.762197070377763,1.886932686563793
1008110070.0,16.214905219009346,4.724005593201602
1008110035.0,12.315155814884717,-1.831100352893414
1008110037.0,13.900107067946086,-1.8195313366704424
1008110038.0,14.692582694476771,-1.8079623492856636
1008110040.0,16.276301254437318,-1.790608868801061
1008110041.0,17.073566195132702,-1.806157722338054
1008110031.0,8.753643526866028,-0.2848846867206005
1008110032.0,10.344213312739742,-0.504033239560707
1008110050.0,13.502674845599318,-0.48701899103385815
1008110030.0,7.159728361659034,-0.512306137256953
1008110033.0,11.651356608284658,-3.410334864917323
1008110028.0,7.33827105563909,-3.434206931291156
1008110027.0,5.6931836130532085,-3.4521624335430436
1008110026.0,4.047090465910308,-3.462478558283289
1008110025.0,2.396199042336275,-3.4745301788973606
1008110024.0,0.7515297380031628,-3.4898348831585917
1008110023.0,-0.8974784316052166,-3.501069658406382
1008110022.0,-2.5427244428753903,-3.5151622752524707
1008110021.0,-4.186978323066752,-3.530834011094265
1008110020.0,-5.841901524212177,-3.539883154721864
1008110019.0,-7.4908695097772915,-3.555959437472696
1008110018.0,-9.135198329833145,-3.5681986690979484
1008110017.0,-10.781362615331245,-3.5736587850696577
1008110016.0,-12.429071842391174,-3.5964172219640287
1008110015.0,-14.07282558660738,-3.6070678231255227
1008110014.0,-15.730043389578233,-3.6182414511334526
1008110029.0,0.8442780146713519,-0.8138198309877428
1008110034.0,12.238455638201852,-1.8343110771857956
1008110036.0,13.820658581276646,-1.8219229547612357
1008110039.0,16.1964767150438,-1.792132710511792
1008120003.0,14.605571604188407,-2.529845623047182
1008120006.0,12.639422489567,0.6153732856363208
1008120005.0,25.6851304182358,-1.8047004000669615
1008110063.0,10.341382733181213,1.7614195401964392
1008110064.0,13.486111672528118,1.7940920500182602
1008120007.0,10.521460592369522,3.9957018110594134
1008120008.0,12.633336403265732,4.022545178358091
